Station,Thn,Bln,Tgl,UT+7,fmin,foES,foF2,Spread-F,h'F
Pameungpeuk,2020,April,1,0:00,2,2.17,3.21,,260
,,,,0:15,2.05,,3.71,,255
,,,,0:30,2.05,,3.29,,268
,,,,0:45,2,,3.29,,255
,,,,1:00,2,,3.37,,241
,,,,1:15,2,2.45,3.21,,326
,,,,1:30,2,2.84,2.91,,241
,,,,1:45,2,2.98,2.77,,257
,,,,2:00,2,3.91,2.64,,273
,,,,2:15,2,2.77,2.64,,296
,,,,2:30,2,2.91,2.64,,289
,,,,2:45,2,2.7,2.7,,275
,,,,3:00,2,2.7,2.64,,283
,,,,3:15,2,2.91,2.51,,304
,,,,3:30,2,2.22,2.7,,294
,,,,3:45,2,2.21,2.45,,283
,,,,4:00,2.2,,2.45,,281
,,,,4:15,2,3.21,2.39,,291
,,,,4:30,2,,2.39,,296
,,,,4:45,2,,2.64,,296
,,,,5:00,2,4.6,,,
,,,,5:15,2,5.22,2.51,,296
,,,,5:30,2,3.12,2.7,,278
,,,,5:45,2.09,,3.29,,257
,,,,6:00,2,,3.99,,239
,,,,6:15,2,2.91,4.86,,231
,,,,6:30,2,3.21,5.5,,228
,,,,6:45,2.05,3.37,6.21,,228
,,,,7:00,2,2.97,6.37,,218
,,,,7:15,2,3.37,6.21,,215
,,,,7:30,2,3.37,6.5,,210
,,,,7:45,2,3.67,7.2,,218
,,,,8:00,2.31,3.37,7.34,,207
,,,,8:15,2.2,4.42,7.53,,215
,,,,8:30,2.2,3.46,7.73,,207
,,,,8:45,2.14,3.62,7.73,,207
,,,,9:00,2.05,3.79,7.93,,194
,,,,9:15,2.26,3.53,8.34,,200
,,,,9:30,2.31,3.62,8.34,,205
,,,,9:45,2.09,3.97,8.51,,205
,,,,10:00,2,4.51,8.51,,197
,,,,10:15,2.31,3.53,8.73,,189
,,,,10:30,2.08,3.82,8.95,,189
,,,,10:45,2.13,3.82,9.42,,194
,,,,11:00,2.13,3.99,9.91,,210
,,,,11:15,2.19,3.83,10.7,,194
,,,,11:30,2.31,3.6,11.1,,202
,,,,11:45,2.29,3.97,12,,184
,,,,12:00,2.35,4.01,12.3,,186
,,,,12:15,2.42,4.2,12.6,,186
,,,,12:30,2.31,4.11,13,,189
,,,,12:45,2.41,4.2,12.7,,207
,,,,13:00,2.37,4.42,12.3,,194
,,,,13:15,2.31,3.7,12.3,,194
,,,,13:30,2.62,4.29,12.3,,197
,,,,13:45,2.42,4.52,12.6,,315
,,,,14:00,2.2,4.92,12.8,,317
,,,,14:15,2.08,5.33,12.9,,317
,,,,14:30,2.49,5.12,13.2,,315
,,,,14:45,2.31,4.62,13.3,,307
,,,,15:00,2.04,4.78,13.6,,299
,,,,15:15,2.2,4.9,13.6,,291
,,,,15:30,2.09,5.15,13.3,,275
,,,,15:45,2.08,6.1,13.3,,275
,,,,16:00,2.04,6.93,13.3,,268
,,,,16:15,1.99,8.35,13.3,,255
,,,,16:30,2.26,6.24,13,,252
,,,,16:45,2,5.77,13,,247
,,,,17:00,2.24,5.33,12.9,,239
,,,,17:15,2.14,3.37,12.9,,236
,,,,17:30,2,3.3,12.6,,223
,,,,17:45,2.14,3.81,12.7,,215
,,,,18:00,2,3.91,11.4,,207
,,,,18:15,2,3.81,11.1,,210
,,,,18:30,1.99,3.33,10.4,,207
,,,,18:45,2,3.62,10.6,,210
,,,,19:00,2,3.64,10.4,,207
,,,,19:15,1.99,3.55,9.23,,207
,,,,19:30,1.99,3.3,8.73,,205
,,,,19:45,1.99,3.14,7.69,,197
,,,,20:00,1.99,2.64,7.2,,200
,,,,20:15,2.01,2.64,6.4,,197
,,,,20:30,2.36,,5.67,,205
,,,,20:45,1.99,,4.74,,197
,,,,21:00,2.24,2.71,4.09,,210
,,,,21:15,2,3.23,3.73,,281
,,,,21:30,1.99,4.33,,,
,,,,21:45,2,4.17,,,
,,,,22:00,2.05,4.78,,,
,,,,22:15,2.05,5.07,,,
,,,,22:30,2.04,3.7,3.22,,317
,,,,22:45,2.26,2.59,3.29,,307
,,,,23:00,2.1,3.21,3.91,,260
,,,,23:15,2,2.78,3.55,,294
,,,,23:30,1.99,,3.81,,273
,,,,23:45,2.05,2.52,3.64,,270
,,,2,0:00,2.05,2.35,3.73,,255
,,,,0:15,2,,3.89,,270
,,,,0:30,2,3.81,3.73,,257
,,,,0:45,1.99,3.12,,4.33,252
,,,,1:00,1.99,4.2,,5.09,239
,,,,1:15,1.99,3.23,,4.77,241
,,,,1:30,2.14,4.33,,4.65,228
,,,,1:45,2.14,2.64,3.99,,218
,,,,2:00,1.99,3.3,3.93,,220
,,,,2:15,2.14,3.22,,4.42,234
,,,,2:30,2,2.78,,3.99,234
,,,,2:45,1.99,2.34,3.55,,231
,,,,3:00,2,2.52,3.22,,231
,,,,3:15,2,,3.06,,236
,,,,3:30,2,,3.06,,234
,,,,3:45,2.05,,2.98,,234
,,,,4:00,2,,2.91,,226
,,,,4:15,1.99,,2.7,,215
,,,,4:30,2.04,,,2.84,247
,,,,4:45,2.04,,,3.05,260
,,,,5:00,2,,,3.22,252
,,,,5:15,2,,,3.3,231
,,,,5:30,1.99,3.22,,3.14,296
,,,,5:45,1.99,2.92,3.37,,226
,,,,6:00,1.99,2.71,4.33,,218
,,,,6:15,1.99,3.22,4.99,,215
,,,,6:30,1.99,4.05,5.25,,213
,,,,6:45,2,5.18,5.78,,223
,,,,7:00,2,6.74,5.9,,226
,,,,7:15,2.05,5.45,6.05,,226
,,,,7:30,2.09,5.9,5.9,,228
,,,,7:45,1.99,6.41,5.93,,202
,,,,8:00,2.08,5.04,6.5,,226
,,,,8:15,2.13,4.76,6.21,,200
,,,,8:30,2.08,7.37,6.34,,273
,,,,8:45,2.29,7.57,6.37,,186
,,,,9:00,2.09,6.6,6.5,,228
,,,,9:15,2.19,9.5,7.01,,302
,,,,9:30,2.35,6.41,7.53,,226
,,,,9:45,2.44,5.33,8.13,,236
,,,,10:00,2.2,4.17,8.55,,210
,,,,10:15,2.47,4.39,9,,189
,,,,10:30,2.72,3.93,9.23,,168
,,,,10:45,2.79,5.33,9.62,,215
,,,,11:00,2.47,6.27,10.1,,260
,,,,11:15,2.62,4.26,11.2,,239
,,,,11:30,2.41,4.22,11.7,,168
,,,,11:45,2.26,4.65,12.6,,165
,,,,12:00,2.56,4.62,13.2,,234
,,,,12:15,2.87,4.62,13.6,,281
,,,,12:30,2.67,4.44,13.7,,236
,,,,12:45,2.42,4.53,14.2,,220
,,,,13:00,2.72,4.49,13.9,,228
,,,,13:15,2.79,4.29,14.3,,223
,,,,13:30,2.49,4.02,14.2,,215
,,,,13:45,2.95,4.05,14.3,,218
,,,,14:00,2.47,4.14,14.2,,223
,,,,14:15,2.35,4.05,14.3,,228
,,,,14:30,2.26,4.3,14.3,,213
,,,,14:45,2.19,4.26,14.3,,213
,,,,15:00,2.2,3.93,14.2,,249
,,,,15:15,2.09,4.05,14.2,,236
,,,,15:30,2.13,3.81,14.3,,228
,,,,15:45,2.24,3.71,14.3,,223
,,,,16:00,2.05,4.22,14.2,,234
,,,,16:15,2.3,3.37,13.9,,231
,,,,16:30,2.03,2.93,13.9,,231
,,,,16:45,2.24,2.7,13.7,,239
,,,,17:00,2.26,3.46,13.2,,231
,,,,17:15,2,3.29,13,,210
,,,,17:30,2,3.93,12.3,,215
,,,,17:45,2,4.11,11.7,,210
,,,,18:00,2.2,3.7,11.7,,210
,,,,18:15,2,4.3,11.4,,202
,,,,18:30,2.31,4.3,10.4,,202
,,,,18:45,2.2,4.11,10.2,,202
,,,,19:00,1.99,3.91,8.95,,200
,,,,19:15,2,3.91,7.73,,202
,,,,19:30,1.99,3.48,6.5,,194
,,,,19:45,1.99,3.62,5.38,,205
,,,,20:00,2,3.12,4.84,,205
,,,,20:15,1.99,2.12,4.6,,218
,,,,20:30,2,3.05,4.51,,257
,,,,20:45,2,2.98,4.74,,255
,,,,21:00,1.99,5.04,4.89,,260
,,,,21:15,1.99,4.2,4.86,,268
,,,,21:30,1.99,3.73,4.72,,252
,,,,21:45,2,3.73,4.65,,252
,,,,22:00,2,2.85,4.42,,252
,,,,22:15,1.99,2.84,4.47,,265
,,,,22:30,2.05,3,4.2,,281
,,,,22:45,2.05,2.58,4.09,,291
,,,,23:00,2.04,,3.91,,275
,,,,23:15,2.05,,,4.77,275
,,,,23:30,1.99,,,5.25,270
,,,,23:45,2.05,,,5.64,281
,,,3,0:00,2.08,3.48,,5.64,266
,,,,0:15,2,3.49,,5.67,247
,,,,0:30,2,3.83,,4.99,228
,,,,0:45,1.99,2.85,,5.09,220
,,,,1:00,2.05,3.29,,5.67,228
,,,,1:15,1.99,2.85,,5.61,218
,,,,1:30,1.99,2.85,,5.36,215
,,,,1:45,1.98,4.76,,4.99,207
,,,,2:00,2.05,5.15,,4.53,207
,,,,2:15,1.99,6.74,,4.30,226
,,,,2:30,2,5.18,,4.11,257
,,,,2:45,2,3.53,,3.81,234
,,,,3:00,1.99,3.14,,3.39,247
,,,,3:15,1.99,2.71,,3.29,236
,,,,3:30,1.99,2.34,,3.27,241
,,,,3:45,1.99,,,3.12,231
,,,,4:00,1.99,,,3.21,236
,,,,4:15,1.99,,,2.92,265
,,,,4:30,1.99,,,3.05,239
,,,,4:45,1.99,,,3.00,302
,,,,5:00,2.05,,,2.91,307
,,,,5:15,2.05,,,2.64,310
,,,,5:30,2.04,,,3.05,289
,,,,5:45,1.98,,,4.09,234
,,,,6:00,2.05,2.58,4.74,,213
,,,,6:15,1.99,3,5.67,,213
,,,,6:30,1.99,3.29,5.67,,213
,,,,6:45,2.04,3.19,6.05,,213
,,,,7:00,1.99,2.85,6.05,,207
,,,,7:15,2.14,3.79,6.05,,210
,,,,7:30,1.99,3.7,5.78,,210
,,,,7:45,2.23,3.21,5.64,,194
,,,,8:00,2.05,3.39,5.38,,197
,,,,8:15,2.04,3.81,5.67,,202
,,,,8:30,2.26,4.51,5.67,,205
,,,,8:45,1.99,4.78,5.5,,281
,,,,9:00,2.26,4.29,5.52,,239
,,,,9:15,2.14,4.17,5.75,,210
,,,,9:30,2.08,4.22,6.05,,192
,,,,9:45,2.13,4.62,6.67,,336
