Station,Thn,Bln,Tgl,UT+7,fmin,foES,foF2,Spread-F,h'F
,,,1,0:00,2,,2.98,,268
,,,,0:15,2,,2.84,,252
,,,,0:30,2,,3.05,,228
,,,,0:45,2,,,4.30,231
,,,,1:00,2.05,4.28,2.84,,241
,,,,1:15,2.14,,,5.47,273
,,,,1:30,2,2.98,,3.29,257
,,,,1:45,2,2.98,,4.09,268
,,,,2:00,2,,2.77,,241
,,,,2:15,2.05,5.75,,4.51,239
,,,,2:30,2,,,4.51,255
,,,,2:45,2,,,4.39,273
,,,,3:00,2.14,,,4.20,239
,,,,3:15,2.14,,,2.97,234
,,,,3:30,2,,,2.84,268
,,,,3:45,2,3.03,,,
,,,,4:00,,,,,
,,,,4:15,,,,,
,,,,4:30,,,,,
,,,,4:45,2,,2.21,,296
,,,,5:00,2,2.56,2.28,,273
,,,,5:15,2,6.6,2.34,,255
,,,,5:30,2,7.89,2.28,,257
,,,,5:45,2.05,5.09,2.58,,273
,,,,6:00,2.05,4.09,3.21,,236
,,,,6:15,2.14,3.62,3.91,,228
,,,,6:30,2.31,,4.3,,218
,,,,6:45,2.09,3.29,4.48,,234
,,,,7:00,2.14,3.21,4.86,,231
,,,,7:15,2.42,3.29,5.22,,247
,,,,7:30,2.62,3.12,5.64,,239
,,,,7:45,2.14,3.36,5.75,,226
,,,,8:00,2.16,3.37,5.75,,228
,,,,8:15,2.2,3.05,5.5,,218
,,,,8:30,2.2,3.71,6.21,,220
,,,,8:45,2.31,3.71,6.21,,218
,,,,9:00,2.42,3.91,6.5,,228
,,,,9:15,2.55,3.62,7.01,,207
,,,,9:30,2.36,3.71,7.34,,207
,,,,9:45,2.26,3.62,6.5,,197
,,,,10:00,2.62,3.12,6.37,,200
,,,,10:15,2.55,,6.21,,197
,,,,10:30,2.74,3.81,6.5,,192
,,,,10:45,3.09,,6.37,,189
,,,,11:00,2.62,3.89,6.5,,184
,,,,11:15,2.62,3.36,6.84,,179
,,,,11:30,2.67,3.46,7.34,,189
,,,,11:45,2.26,,7.73,,179
,,,,12:00,2.62,,7.73,,184
,,,,12:15,2.62,,7.93,,171
,,,,12:30,3.49,,8.13,,168
,,,,12:45,2.74,,8.73,,186
,,,,13:00,2.87,3.81,8.95,,189
,,,,13:15,2.62,,9.86,,181
,,,,13:30,2.55,3.81,10.6,,176
,,,,13:45,2.94,,10.7,,189
,,,,14:00,2.62,3.21,10.4,,194
,,,,14:15,2.81,,10.1,,192
,,,,14:30,2.74,,9.42,,200
,,,,14:45,2.74,,8.95,,194
,,,,15:00,2.67,,8.95,,189
,,,,15:15,2.2,3.51,9.18,,186
,,,,15:30,2.67,3.27,9.42,,207
,,,,15:45,2.26,3.46,9.91,,228
,,,,16:00,2.26,3.62,9.86,,218
,,,,16:15,2.31,3.37,9.86,,194
,,,,16:30,2.88,,9.42,,215
,,,,16:45,2,2.39,8.73,,228
,,,,17:00,2.26,,8.13,,207
,,,,17:15,2.26,,7.73,,228
,,,,17:30,2.36,,7.73,,205
,,,,17:45,2.26,,6.84,,194
,,,,18:00,2.05,,6.37,,197
,,,,18:15,2.36,,6.21,,210
,,,,18:30,2.2,,5.93,,215
,,,,18:45,2.31,,6.05,,220
,,,,19:00,2.14,3.05,6.37,,226
,,,,19:15,2,3.71,6.37,,213
,,,,19:30,2,4.09,6.02,,215
,,,,19:45,2,4.51,5.22,,226
,,,,20:00,2,4.09,4.99,,226
,,,,20:15,2,3.91,4.3,,213
,,,,20:30,2.05,3.91,3.81,,257
,,,,20:45,2,5.64,,,
,,,,21:00,2.36,9.18,,,
,,,,21:15,2.14,8.73,,,
,,,,21:30,2.31,8.73,,,
,,,,21:45,2.05,8.34,,,
,,,,22:00,2,11.4,,,
,,,,22:15,2.2,10.6,,,
,,,,22:30,2.2,12.3,,,
,,,,22:45,2.05,12.3,,,
,,,,23:00,2.05,7.2,,,
,,,,23:15,2,15,,,
,,,,23:30,2,14.2,,,
,,,,23:45,2.05,14.2,,,
,,,2,0:00,2.05,11.1,3.12,,351
,,,,0:15,2.14,9.5,,3.93,333
,,,,0:30,2,8.31,,,
,,,,0:45,2,6.6,,,
