Station,Thn,Bln,Tgl,UT+7,fmin,foES,foF2,Spread-F,h'F
,,,1,0:00,2,,5.64,,257
,,,,0:15,2,,5.5,,270
,,,,0:30,2,,5.36,,275
,,,,0:45,2.05,,5.36,,286
,,,,1:00,2.05,,5.36,,289
,,,,1:15,2,,5.22,,289
,,,,1:30,2.26,,5.09,,291
,,,,1:45,2,,5.09,,281
,,,,2:00,2,,5.09,,278
,,,,2:15,2.04,,5.09,,268
,,,,2:30,2,,5.64,,257
,,,,2:45,2,2.07,4.96,,255
,,,,3:00,2,4.39,4.99,,249
,,,,3:15,2,5.04,4.72,,247
,,,,3:30,2,6.63,4.53,,249
,,,,3:45,2,2.78,4.62,,239
,,,,4:00,2,3.02,4.62,,239
,,,,4:15,2,,4.2,,226
,,,,4:30,2,2.58,3.79,,226
,,,,4:45,2,2.91,3.39,,247
,,,,5:00,2,2.45,3.37,,249
,,,,5:15,2,2.4,3.53,,241
,,,,5:30,2,2.34,3.99,,255
,,,,5:45,2,3.06,4.53,,249
,,,,6:00,2.14,3,4.62,,247
,,,,6:15,2.36,3.64,4.77,,236
,,,,6:30,2,3.14,5.09,,226
,,,,6:45,2,3.39,5.61,,220
,,,,7:00,2.08,3.22,6.24,,210
,,,,7:15,2.05,3.37,6.37,,197
,,,,7:30,2,3.48,6.5,,192
,,,,7:45,2.05,3.3,6.5,,197
,,,,8:00,2.3,3.73,6.47,,197
,,,,8:15,2.31,3.71,6.47,,194
,,,,8:30,2.19,3.7,6.47,,194
,,,,8:45,2.05,4.42,6.5,,192
,,,,9:00,2.55,3.83,6.84,,184
,,,,9:15,2.49,,7.2,,186
,,,,9:30,2.55,4.09,7.53,,181
,,,,9:45,2.31,3.81,7.77,,184
,,,,10:00,2.79,3.83,8.13,,173
,,,,10:15,2.36,,8.38,,173
,,,,10:30,2.31,,8.73,,171
,,,,10:45,2.42,,8.95,,184
,,,,11:00,2.94,,9.42,,173
,,,,11:15,2.95,,9.62,,200
,,,,11:30,3.25,,9.86,,231
,,,,11:45,3.34,,10.4,,213
,,,,12:00,2.66,,10.4,,171
,,,,12:15,3.09,,10.6,,213
,,,,12:30,2.95,4.09,10.9,,194
,,,,12:45,3.09,4.42,11.1,,270
,,,,13:00,3,,11.1,,213
,,,,13:15,2.95,,11.4,,223
,,,,13:30,3.85,,11.1,,194
,,,,13:45,3.08,,11.4,,205
,,,,14:00,2.87,3.62,11.8,,205
,,,,14:15,2.74,,12,,200
,,,,14:30,2.88,3.99,12.3,,207
,,,,14:45,2.04,4.44,12.6,,207
,,,,15:00,2.13,4.07,12.6,,218
,,,,15:15,2.13,3.37,12.7,,266
,,,,15:30,2.04,3.46,12.9,,210
,,,,15:45,2.04,3.71,12.9,,213
,,,,16:00,2,3.33,12.9,,252
,,,,16:15,2,3.82,12.7,,236
,,,,16:30,2.05,4.39,12.3,,231
,,,,16:45,2,2.95,11.7,,215
,,,,17:00,2.04,3.39,11.1,,234
,,,,17:15,2,3.29,10.6,,223
,,,,17:30,2,3.29,9.42,,236
,,,,17:45,2.08,3.29,9,,231
,,,,18:00,2,3.12,8.51,,236
,,,,18:15,2,2.7,7.77,,234
,,,,18:30,2.26,,7.34,,241
,,,,18:45,2,2.08,7.05,,255
,,,,19:00,2,,6.84,,262
,,,,19:15,2.3,,6.84,,278
,,,,19:30,2.31,,6.87,,291
,,,,19:45,2.31,,6.5,,296
,,,,20:00,2.36,,7.01,,302
,,,,20:15,2.24,,7.2,,299
,,,,20:30,2,3.64,6.84,,294
,,,,20:45,2.05,3.51,7.01,,310
,,,,21:00,2.05,4.26,7.2,,302
,,,,21:15,2.04,2.91,7.34,,291
,,,,21:30,2.09,,7.34,,283
,,,,21:45,2.05,,7.2,,275
,,,,22:00,2.05,,7.38,,270
,,,,22:15,2.31,,6.87,,260
,,,,22:30,2.04,,7.01,,255
,,,,22:45,2,2.98,7.01,,255
,,,,23:00,2,3.05,6.84,,252
,,,,23:15,2,3.05,6.8,,255
,,,,23:30,2,3.46,6.4,,257
,,,,23:45,2,3.51,6.34,,260
,,,2,0:00,2,3.6,6.34,,283
,,,,0:15,2,4.29,6.4,,278
,,,,0:30,2,5.15,6.37,,275
,,,,0:45,2,3.6,6.5,,273
,,,,1:00,2.04,3.7,6.5,,262
,,,,1:15,2,3.12,6.5,,255
,,,,1:30,2.04,3.12,6.37,,247
,,,,1:45,2,3.11,6.37,,247
,,,,2:00,2,3.46,6.21,,236
,,,,2:15,2,3.13,5.93,,236
,,,,2:30,2,3.23,5.22,,226
,,,,2:45,2.05,4.65,4.89,,249
,,,,3:00,2,4.29,4.89,,231
,,,,3:15,2,3.29,4.48,,234
,,,,3:30,2,3.13,,4.62,231
,,,,3:45,2,5.07,,4.3,239
,,,,4:00,2,5.04,,4.3,265
,,,,4:15,2,3.53,,4.33,255
,,,,4:30,2.04,4.26,,4.09,262
,,,,4:45,2,2.86,,3.99,278
,,,,5:00,2,2.88,3.64,,268
,,,,5:15,2,3.12,3.99,,249
,,,,5:30,2,,4.42,,239
,,,,5:45,2.41,,4.89,,234
,,,,6:00,2.41,,4.99,,213
,,,,6:15,2.47,,5.64,,194
,,,,6:30,2.94,,5.93,,234
,,,,6:45,2.31,,5.87,,228
,,,,7:00,2.42,,5.75,,210
,,,,7:15,2.04,,5.78,,202
,,,,7:30,2.31,,5.75,,200
,,,,7:45,2,,5.87,,184
,,,,8:00,2.2,,6.18,,179
,,,,8:15,2.3,,6.53,,173
,,,,8:30,2.13,,6.84,,189
,,,,8:45,2.24,,7.23,,194
,,,,9:00,2.54,,7.53,,189
,,,,9:15,2.54,,7.73,,186
,,,,9:30,2.5,,8.13,,189
,,,,9:45,2.79,,8.51,,184
,,,,10:00,2.81,3.89,8.95,,176
,,,,10:15,2.79,,9.18,,165
,,,,10:30,3.25,,9.42,,171
,,,,10:45,2.66,,9.86,,163
,,,,11:00,3,4.42,10.4,,236
,,,,11:15,,,,,
,,,,11:30,,,,,
,,,,11:45,,,,,
,,,,12:00,2.66,4.42,12,,231
,,,,12:15,2.2,3.91,12.3,,213
,,,,12:30,2.6,4.3,12.7,,228
,,,,12:45,2.87,4.11,12.9,,210
,,,,13:00,2.47,4.09,12.9,,210
,,,,13:15,2.47,4.11,12.9,,205
,,,,13:30,2.95,,12.6,,218
,,,,13:45,2.74,,12.6,,200
,,,,14:00,2.35,,12.6,,194
,,,,14:15,2.66,3.81,12.3,,194
,,,,14:30,2.66,3.91,12.3,,213
,,,,14:45,2.2,,12.3,,207
,,,,15:00,2.6,,12.3,,200
,,,,15:15,2.19,3.81,12,,210
,,,,15:30,2.72,,12.7,,220
,,,,15:45,2.56,,12.6,,210
,,,,16:00,2.42,3.48,12.9,,205
,,,,16:15,2.26,3.62,12.9,,207
,,,,16:30,2.88,,12.9,,205
,,,,16:45,2.67,,12.7,,197
,,,,17:00,2.79,,12.7,,234
,,,,17:15,2.42,,12.3,,228
,,,,17:30,2.41,,11.7,,255
,,,,17:45,2.6,,11.8,,247
,,,,18:00,2.26,,11.7,,241
,,,,18:15,2.49,,11.7,,241
,,,,18:30,2.26,,11.4,,239
,,,,18:45,2.42,,11.1,,241
,,,,19:00,2.94,,10.6,,247
,,,,19:15,2.95,,10.7,,255
,,,,19:30,2.55,,10.6,,257
,,,,19:45,2.42,,10.6,,260
,,,,20:00,3.25,,10.6,,283
,,,,20:15,2.13,,10.6,,278
,,,,20:30,3.25,,10.4,,283
,,,,20:45,2.49,,10.4,,273
,,,,21:00,2.54,,9.18,,273
,,,,21:15,2.31,,9.23,,275
,,,,21:30,2.49,,9.23,,289
,,,,21:45,2.79,,9.14,,289
,,,,22:00,2.24,,9.23,,281
,,,,22:15,2,,9.23,,270
,,,,22:30,2,,9.47,,257
