Station,Thn,Bln,Tgl,UT+7,fmin,foES,foF2,Spread-F,h'F
,,,1,0:00,1.99,3.51,,3.55,234
,,,,0:15,1.99,3.7,2.71,,231
,,,,0:30,1.99,2.9,,3.62,207
,,,,0:45,2.03,3.7,,3.29,194
,,,,1:00,1.99,6.63,,3.14,223
,,,,1:15,2.05,4.02,,3.29,304
,,,,1:30,2.04,2.52,,3.46,289
,,,,1:45,1.99,3.29,,3.27,255
,,,,2:00,1.99,3.44,,3.12,239
,,,,2:15,1.99,2.71,,2.70,220
,,,,2:30,,,,,
,,,,2:45,,,,,
,,,,3:00,,,,,
,,,,3:15,,,,,
,,,,3:30,,,,,
,,,,3:45,2,2.34,,,
,,,,4:00,2,3.39,,,
,,,,4:15,2,3.21,,,
,,,,4:30,2,3.62,,,
,,,,4:45,2.24,3.68,,,
,,,,5:00,,,,,
,,,,5:15,,,,,
,,,,5:30,2,3.7,,,
,,,,5:45,2,2.28,2.64,,283
,,,,6:00,2,2.59,2.91,,247
,,,,6:15,1.99,2.71,3.48,,228
,,,,6:30,2,2.7,4.07,,207
,,,,6:45,2,5.77,4.33,,218
,,,,7:00,2,3.11,4.72,,228
,,,,7:15,2,3.13,4.99,,226
,,,,7:30,2,3.21,5.25,,186
,,,,7:45,2,3.6,5.22,,192
,,,,8:00,2.05,4.05,5.5,,184
,,,,8:15,2.03,4.49,5.72,,296
,,,,8:30,2.06,5.45,6.02,,291
,,,,8:45,2,5.04,6.53,,268
,,,,9:00,1.99,3.82,6.47,,223
,,,,9:15,1.99,3.91,6.37,,176
,,,,9:30,2.04,4.52,6.18,,291
,,,,9:45,2.3,5.64,6.37,,294
,,,,10:00,2.09,7.57,6.63,,294
,,,,10:15,2.26,4.78,7.38,,207
,,,,10:30,2.47,6.67,7.34,,260
,,,,10:45,2.14,5.36,8.13,,241
,,,,11:00,2.62,5.22,7.93,,252
,,,,11:15,2.55,5.75,8.13,,249
,,,,11:30,2.42,6.67,7.34,,260
,,,,11:45,2.55,6.05,7.2,,262
,,,,12:00,2.31,5.09,7.53,,291
,,,,12:15,2.62,6.05,7.2,,283
,,,,12:30,2.55,4.74,7.34,,231
,,,,12:45,2.14,4.86,7.73,,336
,,,,13:00,2.49,4.86,8.51,,205
,,,,13:15,2.49,4.74,9.62,,215
,,,,13:30,2.49,4.62,10.9,,270
,,,,13:45,2.36,6.5,10.4,,239
,,,,14:00,2.36,5.36,9.86,,249
,,,,14:15,2.49,4.74,9.62,,249
,,,,14:30,2.2,5.09,9.42,,252
,,,,14:45,2.05,6.21,8.95,,247
,,,,15:00,2.14,4.51,8.51,,249
,,,,15:15,2.09,3.44,8.73,,205
,,,,15:30,2.05,3.37,8.95,,194
,,,,15:45,2.05,3.12,9.42,,186
,,,,16:00,2,3.37,9.42,,186
,,,,16:15,2.05,3.05,9.18,,179
,,,,16:30,2.74,,9.42,,210
,,,,16:45,2.95,,8.73,,231
,,,,17:00,2.31,,7.2,,207
,,,,17:15,2.74,,6.67,,213
,,,,17:30,2.05,4.74,6.05,,220
,,,,17:45,2.05,4.86,5.64,,236
,,,,18:00,2.06,5.64,5.64,,320
,,,,18:15,2.05,5.5,5.75,,257
,,,,18:30,2,3.46,6.05,,252
,,,,18:45,2,3.46,5.64,,234
,,,,19:00,2,3.62,5.5,,228
,,,,19:15,2,3.91,5.22,,226
,,,,19:30,2.09,4.09,5.09,,220
,,,,19:45,2.2,4.3,5.22,,231
,,,,20:00,2.49,4.42,5.5,,220
,,,,20:15,2.09,4.2,5.36,,220
,,,,20:30,2,4.62,4.99,,210
,,,,20:45,2,4.86,4.3,,207
,,,,21:00,2,4.99,3.12,,257
,,,,21:15,2.05,4.28,,,
,,,,21:30,2,4.09,,,
,,,,21:45,2,3.62,,,
,,,,22:00,2.09,3.12,,,
,,,,22:15,2,2.84,,,
,,,,22:30,2,4.18,,,
,,,,22:45,2.05,3.89,,,
,,,,23:00,2.05,4.09,,,
,,,,23:15,,,,,
,,,,23:30,,,,,
,,,,23:45,,,,,
,,,2,0:00,2,5.47,,,
,,,,0:15,2,4.3,,,
,,,,0:30,2,5.9,,,
,,,,0:45,2,5.61,,3.21,273
,,,,1:00,2,5.36,2.39,,257
,,,,1:15,2.14,5.75,,,
,,,,1:30,2,4.99,,,
,,,,1:45,2,4.72,2.56,,252
,,,,2:00,2.14,4.07,2.64,,278
,,,,2:15,2,,2.75,,239
,,,,2:30,2.05,,3.21,,226
,,,,2:45,2.05,,2.91,,234
,,,,3:00,,,,,
,,,,3:15,,,,,
,,,,3:30,,,,,
,,,,3:45,,,,,
,,,,4:00,,,,,
,,,,4:15,,,,,
,,,,4:30,,,,,
,,,,4:45,,,,,
,,,,5:00,,,,,
,,,,5:15,2,2.7,,,
,,,,5:30,2,4.2,,,
,,,,5:45,2,4.28,2.64,,289
,,,,6:00,2,,2.84,,236
,,,,6:15,2.14,,3.53,,226
,,,,6:30,2.36,,4.42,,231
,,,,6:45,2.62,,4.74,,220
,,,,7:00,2.05,2.68,5.09,,231
,,,,7:15,2.05,2.85,5.36,,236
,,,,7:30,2,2.58,5.5,,220
,,,,7:45,2.06,,5.5,,206
,,,,8:00,2.05,3.12,5.64,,239
,,,,8:15,2.14,3.11,6.05,,231
,,,,8:30,2.14,3.12,5.5,,207
,,,,8:45,2.14,,5.64,,247
,,,,9:00,2.26,3.36,5.22,,247
,,,,9:15,2.31,3.51,5.75,,213
,,,,9:30,2.2,3.6,5.22,,278
,,,,9:45,2.14,3.46,5.75,,241
,,,,10:00,2.09,3.62,5.9,,234
,,,,10:15,2.42,3.71,5.61,,186
,,,,10:30,2.24,3.73,5.87,,194
,,,,10:45,2.19,3.83,5.9,,160
,,,,11:00,2.36,3.64,6.05,,200
,,,,11:15,2.36,3.91,5.77,,197
,,,,11:30,2.13,4.17,5.64,,210
,,,,11:45,2.09,4.2,5.64,,205
,,,,12:00,2.62,4.09,5.64,,210
,,,,12:15,2.13,3.91,6.37,,200
,,,,12:30,2.41,4.26,6.7,,194
,,,,12:45,2.14,4.39,6.84,,200
,,,,13:00,2.19,4.01,7.34,,192
,,,,13:15,2.05,4.28,7.01,,186
,,,,13:30,2.1,4.11,7.2,,168
,,,,13:45,2.14,4.07,7.23,,171
,,,,14:00,2.08,3.81,7.97,,163
,,,,14:15,2.09,3.6,8.77,,220
,,,,14:30,2.31,3.62,8.95,,186
,,,,14:45,2.2,4.05,8.69,,197
,,,,15:00,2.05,4.78,8.13,,218
,,,,15:15,2,3.93,8.38,,215
,,,,15:30,2,3.89,8.34,,228
,,,,15:45,2.14,3.62,8.73,,213
,,,,16:00,2,5.45,7.97,,218
,,,,16:15,2,4.62,7.57,,210
,,,,16:30,1.99,5.45,7.16,,215
,,,,16:45,2,5.64,6.53,,223
,,,,17:00,1.99,5.45,7.05,,241
,,,,17:15,2,5.48,6.87,,239
,,,,17:30,1.99,4.29,7.23,,210
,,,,17:45,2.19,4.51,6.84,,213
,,,,18:00,2.05,3.62,6.67,,220
,,,,18:15,2.2,3.7,6.8,,223
,,,,18:30,2,4.44,6.84,,220
,,,,18:45,2.24,3.55,6.53,,213
,,,,19:00,2,3.05,5.9,,207
,,,,19:15,1.99,2.75,5.64,,210
,,,,19:30,2.26,4.2,4.86,,210
,,,,19:45,2.19,4.14,3.91,,207
,,,,20:00,2,3.73,3.97,,231
,,,,20:15,2,3.53,3.93,,213
,,,,20:30,2.3,3.29,3.89,,207
,,,,20:45,2,4.78,,,
,,,,21:00,2.04,3.33,,,
,,,,21:15,2.31,5.07,,,
,,,,21:30,1.99,3.58,,,
,,,,21:45,,,,,
,,,,22:00,,,,,
,,,,22:15,1.99,,,2.71,317
,,,,22:30,2,4.11,,3.00,299
,,,,22:45,1.99,3.79,,3.12,286
,,,,23:00,2,3.82,,3.11,262
,,,,23:15,2,3.73,,3.27,262
,,,,23:30,1.99,4.29,3.12,,247
,,,,23:45,1.99,4.52,2.5,,257
,,,3,0:00,1.99,5.04,2.46,,249
,,,,0:15,2,6.03,,3.46,236
,,,,0:30,2,5.07,,3.14,218
,,,,0:45,2,5.83,,3.12,257
,,,,1:00,2,,,3.12,249
,,,,1:15,1.98,,,3.06,241
,,,,1:30,2.01,3.51,,2.92,262
,,,,1:45,2,4.65,,2.84,239
,,,,2:00,2,5.15,2.77,,257
,,,,2:15,2,4.41,2.64,,242
,,,,2:30,1.99,3.68,2.54,,234
,,,,2:45,2,,2.46,,249
,,,,3:00,2.05,,,2.46,249
,,,,3:15,2.01,,,2.70,262
,,,,3:30,2,3.27,,,
,,,,3:45,,,,,
,,,,4:00,,,,,
,,,,4:15,,,,,
,,,,4:30,2.09,3.7,,,
,,,,4:45,2.08,4.9,,,
,,,,5:00,2.04,5.33,,,
,,,,5:15,1.99,2.88,,,
,,,,5:30,2,3.47,,,
,,,,5:45,2.05,3.7,2.64,,302
,,,,6:00,2,3.58,2.98,,247
,,,,6:15,2,3.31,3.44,,223
,,,,6:30,2.04,3.11,3.79,,215
,,,,6:45,2.09,3.1,3.89,,197
,,,,7:00,2.1,3.11,4.48,,231
,,,,7:15,2,3.05,4.99,,247
,,,,7:30,2.05,3.14,5.07,,234
,,,,7:45,2.04,2.66,4.84,,249
,,,,8:00,2.3,3.46,4.96,,241
,,,,8:15,2.19,3.6,5.25,,231
,,,,8:30,2.01,3.93,5.75,,231
,,,,8:45,2.05,4.14,6.18,,228
,,,,9:00,2.26,3.6,6.37,,220
,,,,9:15,2.35,3.93,6.34,,226
,,,,9:30,2.42,3.97,6.5,,220
,,,,9:45,2.62,4.2,6.98,,223
,,,,10:00,2.31,4.17,7.01,,226
,,,,10:15,2.24,4.12,6.37,,210
,,,,10:30,2.26,7.01,,,
,,,,10:45,2.26,10.1,,,
,,,,11:00,2.42,5.9,7.2,,262
,,,,11:15,2.26,4.39,6.67,,184
,,,,11:30,2.36,4.86,6.37,,275
,,,,11:45,2.36,4.86,6.37,,275
,,,,12:00,2.26,5.09,6.5,,283
,,,,12:15,2.42,5.64,6.84,,275
,,,,12:30,2.55,5.36,6.5,,260
,,,,12:45,2.26,5.36,5.64,,218
,,,,13:00,2.42,5.2,5.9,,375
,,,,13:15,2.09,4.86,6.37,,354
,,,,13:30,2.42,4.99,7.01,,317
,,,,13:45,2.26,5.09,7.53,,226
,,,,14:00,2.42,5.22,7.93,,281
,,,,14:15,2.26,5.22,8.51,,291
,,,,14:30,2.49,5.22,8.95,,275
,,,,14:45,2.55,5.36,9.18,,260
,,,,15:00,2.09,5.36,8.95,,252
,,,,15:15,2.36,5.36,9.18,,252
,,,,15:30,2.14,6.02,9.18,,249
,,,,15:45,2,6.05,8.95,,236
,,,,16:00,2.05,6.53,7.73,,226
,,,,16:15,2,6.67,8.51,,241
,,,,16:30,2.05,5.22,8.34,,218
,,,,16:45,2,3.73,7.53,,205
,,,,17:00,2,3.37,6.7,,205
,,,,17:15,2,3.12,6.05,,194
,,,,17:30,2.26,2.45,5.22,,200
,,,,17:45,2,,4.86,,197
,,,,18:00,2,2.58,4.74,,207
,,,,18:15,2.05,,4.42,,210
,,,,18:30,2,2.91,4.09,,218
,,,,18:45,2,2.39,3.91,,226
,,,,19:00,2,3.27,4.09,,239
