Station,Thn,Bln,Tgl,UT+7,fmin,foES,foF2,Spread-F,h'F
,2020,May,1,0:00,2.05,2.98,,4.30,234
,,,,0:15,2,5.33,,5.64,218
,,,,0:30,2,3.53,,4.30,249
,,,,0:45,2,3.53,,4.30,249
,,,,1:00,2,2.64,,4.99,207
,,,,1:15,2,,,4.51,220
,,,,1:30,2.05,3.12,,4.51,226
,,,,1:45,2,4.86,,4.09,239
,,,,2:00,2,3.29,3.71,,236
,,,,2:15,2,4.51,,,
,,,,2:30,2,4.39,,,
,,,,2:45,2.05,3.79,,,
,,,,3:00,2,5.22,,,
,,,,3:15,2,4.51,,,
,,,,3:30,2,4.3,,,
,,,,3:45,2,3.12,,,
,,,,4:00,2,2.75,,,
,,,,4:15,2.09,2.7,,,
,,,,4:30,2,3.91,,,
,,,,4:45,2,4.39,,,
,,,,5:00,2.05,3.21,,,
,,,,5:15,2.09,4.3,2.58,,299
,,,,5:30,2.09,,2.28,,302
,,,,5:45,2,,2.98,,247
,,,,6:00,2.09,,3.91,,234
,,,,6:15,2,2.45,4.74,,234
,,,,6:30,2,4.51,5.22,,234
,,,,6:45,2.04,4.51,5.36,,234
,,,,7:00,2,3.12,5.5,,220
,,,,7:15,2,3.62,5.64,,215
,,,,7:30,2,3.62,5.36,,210
,,,,7:45,2.05,3.81,5.9,,247
,,,,8:00,2.14,3.91,5.93,,213
,,,,8:15,2.2,3.62,6.37,,205
,,,,8:30,2.31,4.2,6.67,,197
,,,,8:45,2.26,3.91,6.67,,207
,,,,9:00,2.42,3.91,6.84,,205
,,,,9:15,2.31,3.89,7.2,,200
,,,,9:30,2.49,4.74,7.53,,239
,,,,9:45,2.67,5.36,7.34,,268
,,,,10:00,2.49,5.22,7.2,,273
,,,,10:15,2.56,4.74,7.34,,200
,,,,10:30,2.2,4.86,7.34,,197
,,,,10:45,2.55,4.99,7.34,,192
,,,,11:00,2.42,4.74,7.53,,205
,,,,11:15,2.81,5.09,7.73,,302
,,,,11:30,2.74,5.22,8.13,,298
,,,,11:45,2.67,5.22,8.51,,289
,,,,12:00,2.2,6.05,8.51,,275
,,,,12:15,2.55,5.75,9.18,,273
,,,,12:30,2.31,6.05,9.62,,262
,,,,12:45,2.31,5.09,9.42,,260
,,,,13:00,2.49,6.21,8.95,,260
,,,,13:15,2.55,6.37,9.18,,260
,,,,13:30,2.31,10.9,9.42,,262
,,,,13:45,2.42,11.7,9.18,,270
,,,,14:00,2.26,8.51,8.95,,296
,,,,14:15,2.36,8.73,8.51,,260
,,,,14:30,2.14,6.84,8.73,,278
,,,,14:45,2.14,6.67,8.73,,262
,,,,15:00,2.36,6.67,8.95,,257
,,,,15:15,2,6.84,8.51,,262
,,,,15:30,2.2,6.84,8.51,,260
,,,,15:45,2.05,7.53,8.51,,257
,,,,16:00,2,7.34,8.51,,247
,,,,16:15,2.05,7.01,8.51,,236
,,,,16:30,2.05,7.34,7.93,,239
,,,,16:45,2.31,9.18,,,
,,,,17:00,2,6.05,7.53,,234
,,,,17:15,2,4.86,7.2,,207
,,,,17:30,2,4.51,6.5,,207
,,,,17:45,2.14,4.62,5.5,,207
,,,,18:00,2,7.2,4.74,,228
,,,,18:15,2.14,5.64,4.3,,218
,,,,18:30,2,5.64,4.42,,268
,,,,18:45,2,5.64,4.86,,260
,,,,19:00,2.26,5.75,5.09,,231
,,,,19:15,2,7.2,5.64,,228
,,,,19:30,2,5.75,4.74,,205
,,,,19:45,2,5.36,4.42,,207
,,,,20:00,2,4.3,3.99,,210
,,,,20:15,2,5.22,3.53,,205
,,,,20:30,2.26,4.74,3.05,,226
,,,,20:45,2.05,2.98,2.64,,228
,,,,21:00,2,3.12,3.12,,270
,,,,21:15,2,4.3,2.51,,255
,,,,21:30,2,4.09,,,
,,,,21:45,2,4.3,,,
,,,,22:00,2,4.2,,,
,,,,22:15,2,5.47,,,
,,,,22:30,2.05,4.28,,,
,,,,22:45,2,4.39,,,
,,,,23:00,2,4.51,,,
,,,,23:15,2,3.29,,,
,,,,23:30,2.05,3.12,,3.29,315
,,,,23:45,2.09,2.39,,4.18,278
,,,2,0:00,2,2.84,,3.21,252
,,,,0:15,2,3.11,,4.3,249
,,,,0:30,2,,,4.2,220
,,,,0:45,2.09,,,3.7,210
,,,,1:00,2,,2.58,,207
,,,,1:15,2.05,,2.58,,215
,,,,1:30,2.09,,2.56,,236
,,,,1:45,,,,,
,,,,2:00,,,,,
,,,,2:15,,,,,
,,,,2:30,,,,,
,,,,2:45,,,,,
,,,,3:00,,,,,
