Station,Thn,Bln,Tgl,UT+7,fmin,foES,foF2,Spread-F,h'F
,,,1,0:00,2,,5.22,,205
,,,,0:15,2,,4.42,,207
,,,,0:30,2,,4.09,,215
,,,,0:45,2,,3.81,,231
,,,,1:00,2.05,,3.53,,223
,,,,1:15,2,,3.29,,260
,,,,1:30,2.04,,3.03,,278
,,,,1:45,2,,3.03,,281
,,,,2:00,2.09,,3.29,,289
,,,,2:15,2,,3.21,,289
,,,,2:30,2.14,,3.11,,278
,,,,2:45,2,3.84,3.27,,268
,,,,3:00,2,3.3,3.06,,249
,,,,3:15,2,2.45,2.7,,255
,,,,3:30,2.35,,2.77,,291
,,,,3:45,2,,2.7,,257
,,,,4:00,2.13,,2.64,,255
,,,,4:15,2,,2.45,,255
,,,,4:30,2,,2.21,,275
,,,,4:45,2,,2.46,,260
,,,,5:00,,,,,
,,,,5:15,2,,2.84,,247
,,,,5:30,2.04,,3.53,,236
,,,,5:45,2.05,,4.09,,226
,,,,6:00,2,2.7,4.42,,239
,,,,6:15,2.04,2.82,4.51,,228
,,,,6:30,2.13,3.04,4.72,,223
,,,,6:45,1.99,3.41,5.2,,231
,,,,7:00,2.05,3.39,5.36,,220
,,,,7:15,2.13,3.82,5.5,,215
,,,,7:30,2.35,3.7,5.64,,213
,,,,7:45,2.56,4.02,5.87,,231
,,,,8:00,2.62,4.49,6.24,,234
,,,,8:15,2.66,4.41,6.63,,210
,,,,8:30,2.74,4.92,7.16,,302
,,,,8:45,2.6,4.44,7.34,,294
,,,,9:00,2.88,4.26,7.77,,239
,,,,9:15,2.94,4.17,7.93,,210
,,,,9:30,2.67,4.28,7.89,,194
,,,,9:45,2.88,4.51,7.73,,202
,,,,10:00,3,4.2,7.53,,231
,,,,10:15,3,4.62,7.53,,328
,,,,10:30,3.08,4.9,7.69,,351
,,,,10:45,2.88,5.64,8.09,,370
,,,,11:00,2.67,5.45,8.47,,370
,,,,11:15,3.09,5.61,9,,372
,,,,11:30,3.24,5.18,9.66,,375
,,,,11:45,3.17,5.15,10.1,,370
,,,,12:00,3.09,4.78,10.8,,359
,,,,12:15,4.24,,11.5,,194
