Station,Thn,Bln,Tgl,UT+7,fmin,foES,foF2,Spread-F,h'F
,,,1,0:00,2.13,2.64,2.85,,241
,,,,0:15,2,2.11,2.64,,257
,,,,0:30,2.13,,2.5,,278
,,,,0:45,2.13,,2.37,,357
,,,,1:00,2,3.39,2.37,,328
,,,,1:15,2,,2.44,,332
,,,,1:30,2,4.02,2.44,,299
,,,,1:45,2,,2.44,,294
,,,,2:00,2,,2.35,,291
,,,,2:15,2,,2.28,,304
,,,,2:30,2.14,,2.15,,302
,,,,2:45,2.01,,2.1,,354
,,,,3:00,2.2,,2.63,,338
,,,,3:15,2.08,,2.5,,333
,,,,3:30,2.19,,2.56,,344
,,,,3:45,2.1,,2.44,,341
,,,,4:00,2.08,,2.56,,336
,,,,4:15,2.24,,2.59,,346
,,,,4:30,2.01,,2.16,,312
,,,,4:45,2.01,,2.49,,310
,,,,5:00,2,,2.1,,317
,,,,5:15,2.05,,2.28,,304
,,,,5:30,2,,2.98,,252
,,,,5:45,2.06,,3.81,,247
,,,,6:00,2.36,,4.74,,236
,,,,6:15,2.42,,5.09,,239
,,,,6:30,2.44,,5.33,,218
,,,,6:45,2.54,,5.25,,220
,,,,7:00,2.81,,5.36,,210
,,,,7:15,2.08,,5.33,,215
,,,,7:30,3.02,,5.5,,205
,,,,7:45,3.09,,5.5,,202
,,,,8:00,2.42,,5.72,,202
,,,,8:15,2.55,,6.02,,197
,,,,8:30,2.41,,6.18,,197
,,,,8:45,2.55,,6.67,,200
,,,,9:00,2.55,3.64,7.01,,205
,,,,9:15,2,3.71,7.49,,210
,,,,9:30,2.88,,7.85,,194
,,,,9:45,2.2,,8.73,,194
,,,,10:00,2.68,,9.42,,197
,,,,10:15,2.44,,10,,189
,,,,10:30,2.63,,11.1,,189
,,,,10:45,2.49,,11.4,,186
,,,,11:00,3.77,,11.7,,186
,,,,11:15,2.88,,11.1,,184
,,,,11:30,2.81,,10.6,,184
,,,,11:45,2.81,,10.6,,184
,,,,12:00,2.79,,10.4,,179
,,,,12:15,2.81,4.11,10.4,,176
,,,,12:30,2.81,4.22,10.4,,189
,,,,12:45,2.49,3.93,10.4,,186
,,,,13:00,2.88,3.84,10.6,,181
,,,,13:15,2.74,3.93,10.6,,189
,,,,13:30,3.17,4.42,10.6,,197
,,,,13:45,2.72,4.02,10.4,,226
,,,,14:00,2.05,3.83,10.2,,194
,,,,14:15,2.62,3.99,10.4,,205
,,,,14:30,2.49,3.93,10.4,,213
,,,,14:45,2.72,3.84,10.3,,207
,,,,15:00,2.62,3.49,10.4,,197
,,,,15:15,2.31,3.81,9.86,,189
,,,,15:30,2.26,3.55,9.47,,186
,,,,15:45,2.14,3.05,9.57,,210
,,,,16:00,2.88,,9.86,,192
,,,,16:15,2.81,,9.81,,192
,,,,16:30,2.95,,9.81,,249
,,,,16:45,2.6,,9.62,,226
,,,,17:00,2.79,,10.1,,260
,,,,17:15,2.31,,9.86,,241
,,,,17:30,2.66,,9.42,,231
,,,,17:45,2.24,,8.95,,226
,,,,18:00,2.14,,8.69,,231
,,,,18:15,2.26,,7.73,,220
,,,,18:30,2.36,,7.77,,226
,,,,18:45,2.31,,7.31,,223
,,,,19:00,2.26,,7.2,,234
,,,,19:15,2.31,,7.01,,239
,,,,19:30,2.3,,6.67,,241
,,,,19:45,2.09,,6.47,,244
,,,,20:00,2.14,,6.37,,249
,,,,20:15,2.14,,6.4,,252
,,,,20:30,2.26,,6.21,,255
,,,,20:45,2.05,,6.02,,255
,,,,21:00,2.05,,5.75,,247
,,,,21:15,2,,5.9,,236
,,,,21:30,2,,6.05,,231
,,,,21:45,2,,6.02,,228
,,,,22:00,2.05,,5.75,,226
,,,,22:15,2,,5.36,,218
,,,,22:30,2.14,,4.96,,228
,,,,22:45,2.13,,4.86,,244
,,,,23:00,2,,4.62,,247
,,,,23:15,2.13,,4.42,,241
,,,,23:30,2.13,,4.3,,231
,,,,23:45,2.09,,4.48,,228
,,,2,0:00,2.08,,4.18,,223
,,,,0:15,2.09,,3.99,,228
,,,,0:30,2,,3.81,,228
,,,,0:45,2.04,,3.29,,226
,,,,1:00,2.05,,3.12,,241
,,,,1:15,2,,3.03,,244
,,,,1:30,2.05,,2.84,,255
,,,,1:45,2,,2.64,,252
,,,,2:00,2,3,,,
,,,,2:15,2.05,4.65,,,
,,,,2:30,2,5.64,,,
,,,,2:45,2,3.82,2.64,,341
,,,,3:00,2,4.76,2.64,,304
,,,,3:15,2,5.07,2.68,,310
,,,,3:30,2,4.29,2.64,,283
,,,,3:45,2,4.65,2.59,,270
,,,,4:00,2,4.62,2.4,,273
,,,,4:15,2,4.65,,,
,,,,4:30,2,4.42,,,
,,,,4:45,2,3.13,,,
,,,,5:00,2,3.31,,2.71,336
,,,,5:15,2,3.51,2.18,,299
,,,,5:30,2,,2.98,,252
,,,,5:45,2.14,,3.83,,241
,,,,6:00,2,,4.39,,236
,,,,6:15,2.35,,4.77,,236
,,,,6:30,2.42,,4.96,,231
,,,,6:45,2,,5.38,,231
,,,,7:00,2.14,,5.52,,231
,,,,7:15,2.2,,5.9,,228
,,,,7:30,2.29,,5.36,,215
,,,,7:45,2,3.99,5.22,,215
,,,,8:00,2,3.41,5.33,,215
,,,,8:15,2.26,,5.33,,215
,,,,8:30,2.06,3.89,5.64,,213
,,,,8:45,3.25,,5.72,,200
,,,,9:00,2.5,,6.21,,207
,,,,9:15,2.42,,6.63,,202
,,,,9:30,2.37,,6.98,,205
,,,,9:45,2.49,,7.31,,197
,,,,10:00,3,4.51,7.97,,194
,,,,10:15,2.4,,8.51,,200
,,,,10:30,3.66,,9.33,,197
,,,,10:45,2.81,,9.81,,194
,,,,11:00,2.87,,10.4,,189
,,,,11:15,2.79,,10.1,,192
,,,,11:30,2.95,,10.2,,194
,,,,11:45,3.75,,9.23,,194
,,,,12:00,2.87,,9.57,,192
,,,,12:15,3.68,,9.57,,189
,,,,12:30,2.55,,10.1,,189
,,,,12:45,2.95,,10.3,,181
,,,,13:00,3.02,,10.4,,184
