Station,Thn,Bln,Tgl,UT+7,fmin,foES,foF2,Spread-F,h'F
,,,1,0:00,2.05,7.73,,,
,,,,0:15,2,5.64,,,
,,,,0:30,2,4.3,,,
,,,,0:45,2,4.74,,,
,,,,1:00,2,3.12,,,
,,,,1:15,2,3.6,,,
,,,,1:30,2.05,3.12,,,
,,,,1:45,,,,,
,,,,2:00,,,,,
,,,,2:15,,,,,
,,,,2:30,2.14,,2.5,,338
,,,,2:45,,,,,
,,,,3:00,2.14,,2.51,,338
,,,,3:15,,,,,
,,,,3:30,2.2,,2.58,,344
,,,,3:45,2.05,,2.7,,289
,,,,4:00,2.14,,2.64,,336
,,,,4:15,2,,2.22,,315
,,,,4:30,2,,2.22,,317
,,,,4:45,2,,2.28,,315
,,,,5:00,2,,2.22,,304
,,,,5:15,2.05,,2.17,,341
,,,,5:30,2.26,,2.51,,365
,,,,5:45,2.09,,2.98,,310
,,,,6:00,2.14,,3.37,,255
,,,,6:15,2,,4.2,,236
,,,,6:30,2.42,,4.99,,234
,,,,6:45,2,3.12,5.64,,231
,,,,7:00,2.09,3.53,6.5,,226
,,,,7:15,2,3.62,7.2,,218
,,,,7:30,2,3.53,7.73,,220
,,,,7:45,2.14,3.53,8.13,,213
,,,,8:00,2.14,3.29,7.73,,210
,,,,8:15,2.14,3.37,7.01,,205
,,,,8:30,2.09,3.71,6.67,,213
,,,,8:45,2.09,3.91,6.67,,197
,,,,9:00,2.31,4.09,7.2,,320
,,,,9:15,2.42,4.86,7.2,,239
,,,,9:30,2.26,5.5,7.93,,333
,,,,9:45,2.36,4.42,8.51,,186
,,,,10:00,2.55,3.71,8.13,,186
,,,,10:15,2.55,4.05,8.51,,192
,,,,10:30,2.49,4.11,9.91,,192
,,,,10:45,2.54,,10.7,,186
,,,,11:00,2.72,,11.5,,192
,,,,11:15,2.47,3.91,11.7,,189
,,,,11:30,2.54,3.93,12,,186
,,,,11:45,2.79,4.11,12.3,,176
,,,,12:00,2.88,5.07,11.7,,189
,,,,12:15,2.49,5.18,11.4,,330
,,,,12:30,2.72,4.52,11.4,,223
,,,,12:45,2.92,5.18,11.4,,315
,,,,13:00,2.35,4.9,11.5,,299
,,,,13:15,2.09,12.7,11.1,,294
,,,,13:30,2.49,16.8,10.8,,291
,,,,13:45,2.47,12.9,10.4,,294
,,,,14:00,2.42,17.7,10.1,,312
,,,,14:15,2.49,19.4,9,,320
,,,,14:30,2.49,14.8,10.2,,336
,,,,14:45,2.3,11.5,9.81,,328
,,,,15:00,2.31,8.82,10.1,,302
,,,,15:15,2.42,10.8,10.1,,323
,,,,15:30,2.26,14.4,10.1,,349
,,,,15:45,2.36,14.8,10.3,,310
,,,,16:00,2.31,4.52,10.7,,286
,,,,16:15,2,4.01,10.4,,231
,,,,16:30,3.24,,9.86,,257
,,,,16:45,2.04,,9.86,,210
,,,,17:00,2.3,,9.86,,226
,,,,17:15,2.26,,9.37,,234
,,,,17:30,2.13,,9,,226
,,,,17:45,2.24,,8.55,,218
,,,,18:00,2.26,,7.93,,220
,,,,18:15,2.21,,7.16,,215
,,,,18:30,2,3.33,7.53,,234
,,,,18:45,2.2,,7.31,,223
,,,,19:00,2.09,,7.23,,223
,,,,19:15,2.08,,7.16,,223
,,,,19:30,2.31,,6.67,,213
,,,,19:45,2.06,,6.5,,215
,,,,20:00,2.31,,6.08,,218
,,,,20:15,2.09,,5.87,,213
,,,,20:30,2,,5.22,,202
,,,,20:45,2.08,,4.84,,215
,,,,21:00,2.04,,4.89,,255
,,,,21:15,2.04,,4.74,,220
,,,,21:30,2.05,,,5.67,215
,,,,21:45,2,5.07,,4.89,215
,,,,22:00,2.04,4.76,,4.42,220
,,,,22:15,2,5.33,,4.33,252
,,,,22:30,2,4.39,,4.33,262
,,,,22:45,2,3.12,,4.30,228
,,,,23:00,2.04,,,4.33,231
,,,,23:15,2,,,4.33,213
,,,,23:30,2.05,3,,4.33,226
,,,,23:45,2,3.41,,4.30,234
,,,2,0:00,2,3.68,,4.33,223
,,,,0:15,2.08,5.04,,4.48,220
,,,,0:30,2.05,3.7,,,
,,,,0:45,2,5.04,,,
,,,,1:00,2,5.18,,,
,,,,1:15,2,5.48,,,
,,,,1:30,2,4.62,,,
,,,,1:45,2.05,3.6,,,
,,,,2:00,2.03,2.22,,,
,,,,2:15,2,3.91,,,
,,,,2:30,2,3.12,,,
,,,,2:45,,,,,
,,,,3:00,2.05,3.48,,,
,,,,3:15,2,3.29,,,
,,,,3:30,2.2,,2.51,,312
,,,,3:45,,,,,
,,,,4:00,,,,,
,,,,4:15,2.04,2.45,,,
,,,,4:30,2,2.34,,,
,,,,4:45,2,2.44,,,
,,,,5:00,2.26,3.3,,,
,,,,5:15,2,4.41,,,
